station,lines,2011,2012,2013,2014,2015,2016
Middle    Village-Metropolitan Av,M,1220377,1189616,1200171,1300110,1361246,1365048
Northern Blvd,M R,2184353,2214223,2239136,2290836,2282296,2264100
Ozone    Park-Lefferts Blvd,A,2286542,2246624,2262961,2263109,2224331,2351557
Parsons Blvd,F,1920497,1950852,2035948,2052252,2094007,2063042
Queens Plaza,E M R,2550906,2747366,2855006,3005223,3101888,3124028
Queensboro    Plaza,N W 7,3047146,3350219,3569290,3785260,3773168,4105500
Rockaway Blvd,A,2373967,2446937,2637100,2575171,1729268,2382252
Rockaway    Park-Beach 116 St,A S,286902,251080,135956,231407,255542,250220
Seneca Av,M,758144,716729,711011,755026,842069,854251
Steinway St,M R,4930914,4866245,4798179,4807448,4779346,4703321
Sutphin Blvd,F,1470022,1468970,1550363,1468419,1506607,1414334
Sutphin    Blvd-Archer Av-JFK Airport,E J Z,6839255,6975316,7303038,7633725,7767728,7904869
Vernon    Blvd-Jackson Av,7,3170128,3357030,3726974,4169876,4462652,4877185
Woodhaven    Blvd,J Z,1357800,1328319,1398536,1505920,1551590,1513298
Woodhaven    Blvd,M R,7241776,7157320,7157254,7125205,7120037,7144921
Woodside-61    St,7,5382589,5273308,5330760,5356621,5432682,5511564
