station,lines,2011,2012,2013,2014,2015,2016
Avenue I,F,696851,684241,699582,696140,672710,585217
Avenue J,Q,2085557,1807574,1867576,1850087,1848674,1867727
Avenue M,Q,1345774,1608901,1730576,1731955,1733583,1776762
Avenue N,F,1049752,1012534,1044429,1050916,1027713,941921
Avenue P,F,836317,825620,861095,864424,858733,809816
Avenue U,F,696998,707595,717486,699414,716715,772331
Avenue U,N,1244178,1297870,1211062,1251276,1253349,456533
Avenue U,Q,2136714,2071874,2176073,2175035,2231577,2332985
Avenue X,F,854737,860597,908520,892170,589962,727220
Bay 50 St,D,920243,777836,847843,884302,872953,972937
Bay Pkwy,D,2018400,2038864,2298420,2362284,2368617,2578524
Bay Pkwy,F,434564,464906,487308,478322,460536,406793
Bay Pkwy,N,2160569,2221968,2243082,2342792,2298369,3435240
Bay Ridge Av,R,2538150,2522369,2525470,2597559,2623309,2622438
Bay Ridge-95    St,R,1769432,1809829,1830193,1858200,1865038,1853049
Bedford Av,L,7738863,8342397,9214395,9892516,9388289,9688560
Bedford-Nostrand    Avs,G,2012606,2138852,2348998,2513681,2634066,2697942
Bergen St,2 3,1326721,1397036,1296199,1236513,1210571,1231084
Bergen St,F G,3452452,3529174,3650848,3711317,3708300,3599389
Beverley Rd,Q,1095502,950243,737652,838970,899663,953903
Beverly Rd,2 5,1276466,1274789,1364573,1360719,1392643,1379958
Brighton    Beach,B Q,3842789,3781554,3810743,3872092,4014831,4044514
Broadway,G,995856,1023397,1071877,1124407,1313362,1397227
Broadway    Junction,A C J L Z,2810713,2862830,2948156,3018656,3133658,3085401
Bushwick    Av-Aberdeen St,L,405385,427032,490042,563577,598393,672880
Canarsie-Rockaway    Pkwy,L,3865823,3920243,4062690,4175970,4024313,3897784
Carroll St,F G,3598477,3961111,3782675,3616947,3672702,3563150
Central Av,M,890194,992142,505757,970531,1141731,1158274
Chauncey St,J Z,966989,964735,938803,959091,1045698,1092483
Church Av,2 5,3057877,2987887,3059215,3020066,3070551,3027658
Church Av,B Q,4665059,4982615,5603898,5482093,5707573,5438775
Church Av,F G,3271729,3081142,3193844,3201585,3353795,3315387
Clark St,2 3,1754204,1855650,1972314,2018876,1997148,2000024
Classon Av,G,1308232,1355886,1432872,1477256,1604508,1581663
Cleveland St,J,1002848,1029708,1050261,1107397,1120403,1104683
Clinton-Washington    Avs,C,1819542,1891559,2104035,2077312,2060200,2152345
Clinton-Washington    Avs,G,1628558,1637463,1678004,1652336,1716023,1656058
Coney    Island-Stillwell Av,D F N Q,4649438,4733106,4690794,4980140,5132083,5025598
Cortelyou Rd,Q,2135444,1992781,1700177,1806758,1961144,1978254
Court St    /Borough Hall,R 2 3 4 5,11115037,10988473,11291705,11474717,11360058,11080334
Crescent St,J Z,1514075,1504645,1509290,1583134,1626727,1617730
Crown    Heights-Utica Av,3 4,8438284,8469613,8534705,8690082,8965908,9051970
Cypress Hills,J,435446,411495,432557,450480,452936,462143
DeKalb Av,B Q R,5122803,5222096,5223608,5288037,5373388,5640329
DeKalb Av,L,3382468,3495896,3712102,3924836,3938538,4017076
Ditmas Av,F,1392790,1404811,1455737,1437835,1033946,1055185
East 105 St,L,1101683,1110433,1161688,1197125,1187844,1201578
Eastern    Pkwy-Brooklyn Museum,2 3,1568924,1578613,1674856,1665524,1676659,1585048
Euclid Av,A C,3100867,3115445,3323235,3315007,3509500,3458027
Flatbush    Av-Brooklyn College,2 5,6547958,6384496,6562226,6447908,6487608,6321530
Flushing Av,G,616083,655317,728668,808421,866803,877269
Flushing Av,J M,2683278,2776360,2869903,2847691,2991074,2894033
Fort Hamilton    Pkwy,D,1103024,1025285,1240644,1317172,1297755,1349733
Fort Hamilton    Pkwy,F G,1292131,1538039,1688093,1729381,1792239,1845401
Fort Hamilton Pkwy,N,2086389,2105486,2200487,2278120,2164028,554051
Franklin Av       /Botanic Garden,2 3 4 5 S,4712492,4934593,5125782,5377967,5100038,5010984
Franklin Av,C S,1904736,1982691,2049246,2125076,2137752,2056281
Fulton St,G,1179034,1280063,1394890,1485669,1643353,1639930
